index,Year,Partner,Trade Value (US$),Qty
13,2007,Belarus,51561000000,0.0
167,2007,United Kingdom,41986285690,77880084260.0
165,2007,Ukraine,63714658120,69805682689.0
163,2007,USA,33942957859,27410586091.0
161,2007,Turkey,58978149244,91246943735.0
154,2007,Switzerland,61750571036,41604710805.0
131,2007,Poland,48601785549,64577186360.0
115,2007,Netherlands,176116101007,163673390866.0
92,2007,Latvia,10231422256,8627461944.0
87,2007,Kazakhstan,41531189946,75056462154.0
134,2007,Rep. of Korea,25679497260,42926193086.0
83,2007,Italy,70837259139,53337471166.0
85,2007,Japan,32823609755,50457079126.0
34,2007,China,65786710001,69792299725.0
52,2007,Egypt,7814636952,10156207804.0
60,2007,Finland,43053359397,50321481663.0
14,2007,Belgium,10283399148,8302886270.0
65,2007,Germany,78414783514,66137346148.0
77,2007,India,14028507854,9308074208.0
62,2007,France,25456674286,24124297481.0
268,2008,Latvia,30355116125,29039385564.0
347,2008,United Kingdom,51330608632,65947709864.0
345,2008,Ukraine,90172990452,73713003076.0
343,2008,USA,53761928842,35561261976.0
341,2008,Turkey,74082170697,84784152253.0
332,2008,Switzerland,39457210784,32255811860.0
311,2008,Rep. of Korea,32198094498,41680030429.0
291,2008,Netherlands,227265898296,164787197605.0
263,2008,Kazakhstan,45546386041,78290825000.0
308,2008,Poland,69355767927,68836358713.0
259,2008,Italy,101857681977,56076380446.0
191,2008,Belgium,18472434940,12577698887.0
210,2008,China,87140296472,61831042713.0
229,2008,Egypt,7757570257,8713990977.0
236,2008,Finland,60893703296,56958798905.0
190,2008,Belarus,71090902968,0.0
243,2008,Germany,83111193691,59475161126.0
253,2008,India,21751313543,11484538934.0
238,2008,France,29463114141,22712549217.0
261,2008,Japan,43778874509,48258594388.0
527,2009,United Kingdom,29119877946,70339499469.0
447,2009,Latvia,15516679296,33757762992.0
525,2009,Ukraine,38929144281,54976994763.0
523,2009,USA,34053849448,35461611633.0
521,2009,Turkey,45076785230,79360415572.0
512,2009,Switzerland,27435687732,29746742725.0
491,2009,Rep. of Korea,23839994828,38171565030.0
488,2009,Poland,44425196443,68058987410.0
472,2009,Netherlands,146275732552,180166571098.0
440,2009,Japan,30273069006,49330305563.0
438,2009,Italy,63752720178,60084536853.0
432,2009,India,22710870071,14307683955.0
420,2009,Germany,50106833802,52454510054.0
417,2009,France,20584064882,25766437344.0
415,2009,Finland,34583799636,53655997377.0
406,2009,Egypt,7284322268,13663341662.0
388,2009,China,70693625318,104924813126.0
370,2009,Belgium,16177825620,13461353550.0
442,2009,Kazakhstan,31793936511,85768407506.0
649,2010,Netherlands,220919610094,207963986401.0
664,2010,Poland,58565951388,73979691402.0
667,2010,Rep. of Korea,44695692373,59729816254.0
624,2010,Latvia,23046581425,28823167094.0
700,2010,USA,51989783789,39741944503.0
702,2010,Ukraine,54434910971,64184910052.0
704,2010,United Kingdom,40375566896,60811202864.0
698,2010,Turkey,61648275445,89605541806.0
619,2010,Kazakhstan,32071073499,0.0
