Year,Partner,Trade Value (US$),Qty
2007,Germany,3043364890,5.0
2007,Uzbekistan,753533072,0.0
2007,India,776460850,0.0
2007,Ukraine,2998477190,5187.0
2007,Kazakhstan,2924252361,0.0
2007,Italy,2577482338,0.0
2007,Iran,2307201598,10.0
2007,China,945555999,280.0
2007,USA,3792126999,341.0
2007,Rep. of Korea,526704742,0.0
2007,Poland,753000476,82.0
2007,"Other Asia, nes",453634484,0.0
2007,Japan,2008747420,2.0
2007,Israel,437923715,75.0
2007,Finland,1132578912,0.0
2007,Turkey,3311899165,0.0
2007,Netherlands,7853899124,0.0
2007,United Kingdom,1253234802,67.0
2007,Belgium,1293162648,9.0
2007,Switzerland,5576753270,0.0
2008,Rep. of Korea,1226695630,11.0
2008,Germany,3197860410,27.0
2008,Uzbekistan,798986954,0.0
2008,Kazakhstan,2760851637,0.0
2008,Japan,2636426561,0.0
2008,Poland,676494825,14.0
2008,Ukraine,3657372797,3541.0
2008,"Other Asia, nes",604678031,0.0
2008,Belgium,1224544119,16723.0
2008,Netherlands,6408007325,0.0
2008,India,1036802948,0.0
2008,Iran,2160057084,38.0
2008,Israel,366728290,30.0
2008,China,1233523736,20.0
2008,Italy,5030451153,0.0
2008,Switzerland,2063590718,0.0
2008,Finland,1093340893,0.0
2008,USA,4102475159,894.0
2008,United Kingdom,951229123,81.0
2008,Turkey,4064575838,0.0
2009,Belgium,1393658163,0.0
2009,China,1612034085,60.0
2009,Ukraine,1352442537,3830.0
2009,Germany,1742730958,0.0
2009,Iran,2061671534,0.0
2009,India,846634369,0.0
2009,Japan,1340324751,0.0
2009,Finland,921175689,16.0
2009,Turkey,2500217435,0.0
2009,Kazakhstan,2346149492,0.0
2009,USA,2794566850,1431.0
2009,Italy,2438157375,0.0
2009,Switzerland,1534272226,0.0
2009,Uzbekistan,680399937,0.0
2009,Poland,303580477,12.0
2009,Netherlands,4784830226,0.0
2009,Israel,276203776,0.0
2009,Rep. of Korea,536277466,0.0
2009,United Kingdom,312470542,15.0
2009,"Other Asia, nes",532677823,0.0
2010,Iran,2206595161,0.0
2010,Japan,1117698175,0.0
