Year,Partner,Trade Value (US$),Qty
2012,China,8253,2518.0
2012,Belarus,54936489,15222146.0
2012,Turkey,42446021,210232919.0
2012,Tajikistan,28175447,14923776.0
2012,Germany,25483269,78795183.0
2012,Mongolia,22682383,7430779.0
2012,Viet Nam,22188566,192819756.0
2012,Kyrgyzstan,20571357,9322429.0
2012,Turkmenistan,20136252,10350148.0
2012,Netherlands,16415829,12593282.0
2012,Georgia,13380132,6795686.0
2012,Ukraine,123118062,125053996.0
2012,Latvia,13083247,5191287.0
2012,Azerbaijan,57395370,23491699.0
2012,Rep. of Moldova,9519667,2932732.0
2012,Uzbekistan,2586240,2108839.0
2012,Spain,2646533,637107.0
2012,Poland,2984763,545918.0
2012,Armenia,7109535,2389822.0
2012,Kazakhstan,159196599,66658818.0
2013,Turkey,53309715,189572553.0
2013,Mongolia,28369695,8401483.0
2013,Spain,2772021,541998.0
2013,Tajikistan,26972329,11780188.0
2013,Uzbekistan,3000397,1930167.0
2013,Viet Nam,11036668,50828936.0
2013,Rep. of Moldova,9921178,2374062.0
2013,Armenia,7671249,2496691.0
2013,Georgia,15833720,4722259.0
2013,Germany,15288948,20510759.0
2013,Latvia,9288520,3469402.0
2013,Azerbaijan,57391376,18844368.0
2013,Turkmenistan,12435088,4566185.0
2013,Netherlands,11427503,8288422.0
2013,Poland,4313316,852270.0
2013,China,1111340,259263.0
2013,Kyrgyzstan,20835727,6274877.0
2013,Ukraine,136129072,118443509.0
2013,Kazakhstan,133752208,40342183.0
2013,Belarus,86611966,18966922.0
2014,Ukraine,55610657,26209519.0
2014,Tajikistan,27504455,12458428.0
2014,Netherlands,9437031,1324894.0
2014,Latvia,9750448,21852980.0
2014,Turkey,81011771,307883370.0
2014,Spain,9982818,29515167.0
2014,Mongolia,21779605,6796499.0
2014,Belarus,115692035,22574806.0
2014,Kazakhstan,114903024,30755109.0
2014,Georgia,18080258,5930469.0
2014,Turkmenistan,13404578,4960268.0
2014,Germany,15070906,26692879.0
2014,Rep. of Moldova,8643180,1977604.0
2014,Armenia,8286731,2837485.0
2014,Kyrgyzstan,27061541,8236960.0
2014,China,4586894,934451.0
2014,Uzbekistan,3912038,2664736.0
2014,Azerbaijan,52343297,19629090.0
2014,Viet Nam,4655395,10213672.0
2014,Poland,4287530,818337.0
2015,Latvia,5348876,2943229.0
2015,Germany,11290458,15057383.0
2015,Netherlands,11719398,2012202.0
2015,Armenia,12371831,8981374.0
